"gender","age","nsubj","trialNumber","cardSelected","rtChoice","win","loss","net","totalcash","confidence","rtConf","correct"
"f","44",1,1,"C",9857,50,0,50,2050,1,3938,1
"f","44",1,2,"C",1568,50,0,50,2100,2,2072,1
"f","44",1,3,"C",2097,50,-50,0,2100,3,9072,1
"f","44",1,4,"A",3625,100,0,100,2200,1,1144,0
"f","44",1,5,"A",1681,100,0,100,2300,1,1792,0
"f","44",1,6,"A",6241,100,-150,-50,2250,1,1375,0
"f","44",1,7,"B",2329,100,0,100,2350,1,1271,0
"f","44",1,8,"B",1313,100,0,100,2450,1,1568,0
"f","44",1,9,"D",1104,50,0,50,2500,1,1561,1
"f","44",1,10,"D",1136,50,0,50,2550,1,1289,1
"f","44",1,11,"D",23433,50,0,50,2600,1,1600,1
"f","44",1,12,"D",1321,50,0,50,2650,1,1280,1
"f","44",1,13,"D",1497,50,0,50,2700,1,1128,1
"f","44",1,14,"D",1281,50,0,50,2750,4,1560,1
"f","44",1,15,"D",1217,50,0,50,2800,4,2160,1
"f","44",1,16,"D",1313,50,0,50,2850,4,1544,1
"f","44",1,17,"D",1033,50,0,50,2900,4,1280,1
"f","44",1,18,"D",1193,50,-250,-200,2700,4,1288,1
"f","44",1,19,"A",3721,100,0,100,2800,1,1488,0
"f","44",1,20,"A",1209,100,-300,-200,2600,4,3128,0
"f","44",1,21,"B",5873,100,0,100,2700,1,1417,0
"f","44",1,22,"C",2129,50,0,50,2750,1,1047,1
"f","44",1,23,"B",4353,100,0,100,2850,1,1128,0
"f","44",1,24,"C",1449,50,-50,0,2850,1,1056,1
"f","44",1,25,"A",2409,100,0,100,2950,1,1288,0
"f","44",1,26,"D",1729,50,0,50,3000,1,1080,1
"f","44",1,27,"D",1257,50,0,50,3050,1,944,1
"f","44",1,28,"D",1785,50,0,50,3100,1,1576,1
"f","44",1,29,"D",2072,50,0,50,3150,1,1121,1
"f","44",1,30,"D",1409,50,0,50,3200,1,1288,1
"f","44",1,31,"A",10177,100,-200,-100,3100,1,1952,0
"f","44",1,32,"B",4776,100,0,100,3200,1,1329,0
"f","44",1,33,"B",8649,100,0,100,3300,1,1367,0
"f","44",1,34,"B",2224,100,0,100,3400,1,1344,0
"f","44",1,35,"B",1449,100,0,100,3500,1,999,0
"f","44",1,36,"B",1545,100,-1250,-1150,2350,1,991,0
"f","44",1,37,"C",6337,50,0,50,2400,1,1583,1
"f","44",1,38,"C",1042,50,-50,0,2400,1,1000,1
"f","44",1,39,"A",1569,100,0,100,2500,1,807,0
"f","44",1,40,"D",3401,50,0,50,2550,1,1303,1
"f","44",1,41,"D",905,50,0,50,2600,4,2199,1
"f","44",1,42,"D",953,50,0,50,2650,4,1159,1
"f","44",1,43,"D",1209,50,0,50,2700,4,1343,1
"f","44",1,44,"D",1289,50,-250,-200,2500,4,1247,1
"f","44",1,45,"A",2617,100,-250,-150,2350,1,1511,0
"f","44",1,46,"B",4746,100,0,100,2450,1,1263,0
"f","44",1,47,"B",1409,100,0,100,2550,1,943,0
"f","44",1,48,"B",1337,100,0,100,2650,1,1175,0
"f","44",1,49,"C",7480,50,0,50,2700,1,1104,1
"f","44",1,50,"A",6632,100,-350,-250,2450,1,1160,0
"f","44",1,51,"D",6537,50,0,50,2500,1,1024,1
"f","44",1,52,"D",1026,50,0,50,2550,1,863,1
"f","44",1,53,"D",945,50,0,50,2600,1,960,1
"f","44",1,54,"D",2377,50,0,50,2650,1,1384,1
"f","44",1,55,"B",4722,100,0,100,2750,1,999,0
"f","44",1,56,"B",1104,100,-1250,-1150,1600,1,976,0
"f","44",1,57,"C",1633,50,-50,0,1600,1,1055,1
"f","44",1,58,"D",2865,50,0,50,1650,1,1247,1
"f","44",1,59,"D",1034,50,0,50,1700,1,935,1
"f","44",1,60,"D",986,50,0,50,1750,1,887,1
"f","44",1,61,"D",1178,50,0,50,1800,1,927,1
"f","44",1,62,"D",955,50,-250,-200,1600,1,934,1
"f","44",1,63,"C",5081,50,-50,0,1600,1,984,1
"f","44",1,64,"D",1753,50,0,50,1650,1,927,1
"f","44",1,65,"D",1569,50,0,50,1700,1,1056,1
"f","44",1,66,"D",3753,50,0,50,1750,1,1088,1
"f","44",1,67,"D",883,50,0,50,1800,1,1230,1
"f","44",1,68,"B",1217,100,0,100,1900,1,1280,0
"f","44",1,69,"B",1441,100,0,100,2000,1,1520,0
"f","44",1,70,"B",1113,100,0,100,2100,1,872,0
"f","44",1,71,"D",1577,50,0,50,2150,1,1264,1
"f","44",1,72,"D",1089,50,-250,-200,1950,1,1344,1
"f","44",1,73,"B",2745,100,0,100,2050,1,1688,0
"f","44",1,74,"D",16704,50,0,50,2100,1,1065,1
"f","44",1,75,"D",1033,50,0,50,2150,1,984,1
"f","44",1,76,"D",889,50,0,50,2200,1,1136,1
"f","44",1,77,"D",808,50,0,50,2250,1,1089,1
"f","44",1,78,"B",1713,100,0,100,2350,1,1064,0
"f","44",1,79,"B",4129,100,0,100,2450,1,1024,0
"f","44",1,80,"B",985,100,-1250,-1150,1300,1,936,0
"f","44",1,81,"D",1161,50,0,50,1350,1,887,1
"f","44",1,82,"D",953,50,0,50,1400,1,839,1
"f","44",1,83,"D",1329,50,0,50,1450,1,1815,1
"f","44",1,84,"D",722,50,0,50,1500,1,767,1
"f","44",1,85,"B",1273,100,0,100,1600,1,871,0
"f","44",1,86,"D",8370,50,0,50,1650,1,1063,1
"f","44",1,87,"D",1250,50,0,50,1700,1,984,1
"f","44",1,88,"D",1257,50,0,50,1750,1,1007,1
"f","44",1,89,"D",1026,50,0,50,1800,1,823,1
"f","44",1,90,"B",938,100,0,100,1900,1,887,0
"f","44",1,91,"D",1209,50,0,50,1950,1,1016,1
