"gender","age","nsubj","trial","cardSelected","rtChoice","win","loss","net","totalcash","confidence","rtConf","deckOrder"
"f","21",1,1,"C",7088,100,0,100,2100,4,3063,"cabd"
"f","21",1,2,"C",5352,100,0,100,2200,3,2416,"cabd"
"f","21",1,3,"A",5440,100,0,100,2300,4,1392,"cabd"
"f","21",1,4,"D",15346,50,0,50,2350,4,1384,"cabd"
"f","21",1,5,"A",6696,100,0,100,2450,2,3215,"cabd"
"f","21",1,6,"C",25417,100,-150,-50,2400,1,2671,"cabd"
"f","21",1,7,"B",6169,50,0,50,2450,3,1550,"cabd"
"f","21",1,8,"D",3312,50,0,50,2500,3,2032,"cabd"
"f","21",1,9,"A",4993,100,0,100,2600,4,783,"cabd"
"f","21",1,10,"B",5568,50,0,50,2650,2,2096,"cabd"
"f","21",1,11,"D",5944,50,0,50,2700,1,3624,"cabd"
"f","21",1,12,"A",3768,100,0,100,2800,3,2696,"cabd"
"f","21",1,13,"C",8049,100,0,100,2900,4,1288,"cabd"
"f","21",1,14,"C",7016,100,-300,-200,2700,2,3511,"cabd"
"f","21",1,15,"A",3185,100,0,100,2800,4,808,"cabd"
"f","21",1,16,"B",2737,50,-50,0,2800,2,2783,"cabd"
"f","21",1,17,"C",6552,100,0,100,2900,4,552,"cabd"
"f","21",1,18,"B",10688,50,0,50,2950,3,2841,"cabd"
"f","21",1,19,"D",11328,50,0,50,3000,4,4720,"cabd"
"f","21",1,20,"A",1825,100,0,100,3100,1,568,"cabd"
"f","21",1,21,"B",7929,50,-50,0,3100,2,3343,"cabd"
"f","21",1,22,"C",8488,100,-200,-100,3000,3,1360,"cabd"
"f","21",1,23,"D",1272,50,0,50,3050,4,424,"cabd"
"f","21",1,24,"A",5233,100,0,100,3150,2,5408,"cabd"
"f","21",1,25,"C",4817,100,0,100,3250,3,3920,"cabd"
"f","21",1,26,"D",4377,50,0,50,3300,1,1104,"cabd"
"f","21",1,27,"B",3552,50,0,50,3350,4,2760,"cabd"
"f","21",1,28,"A",21312,100,0,100,3450,3,1984,"cabd"
"f","21",1,29,"D",1520,50,0,50,3500,1,1080,"cabd"
"f","21",1,30,"C",3249,100,-250,-150,3350,3,2472,"cabd"
"f","21",1,31,"D",3393,50,0,50,3400,4,712,"cabd"
"f","21",1,32,"A",2040,100,-1250,-1150,2250,3,1576,"cabd"
"f","21",1,33,"B",6368,50,-50,0,2250,4,1040,"cabd"
"f","21",1,34,"C",6425,100,-350,-250,2000,3,8536,"cabd"
"f","21",1,35,"D",5960,50,0,50,2050,4,584,"cabd"
"f","21",1,36,"B",5832,50,0,50,2100,4,1176,"cabd"
"f","21",1,37,"A",2048,100,0,100,2200,4,1040,"cabd"
"f","21",1,38,"C",2800,100,0,100,2300,4,552,"cabd"
"f","21",1,39,"D",2112,50,-250,-200,2100,4,912,"cabd"
"f","21",1,40,"A",4705,100,0,100,2200,2,3343,"cabd"
"f","21",1,41,"D",3753,50,0,50,2250,4,2465,"cabd"
"f","21",1,42,"A",5033,100,0,100,2350,4,1111,"cabd"
"f","21",1,43,"B",2136,50,-50,0,2350,4,1296,"cabd"
