"gender","age","nsubj","trial_number","card_selected","rt_cardselection","win","loss","net_gain","totalcash_by_trial","confidence","rt_confidence","adv_choice","block"
"m",19,1,1,"C",4300,50,0,50,2050,2,2053,1,1
"m",19,1,2,"C",5311,50,0,50,2100,3,1768,1,1
"m",19,1,3,"D",2830,50,0,50,2150,2,1750,1,1
"m",19,1,4,"B",1298,100,0,100,2250,1,1129,0,1
"m",19,1,5,"B",2297,100,0,100,2350,2,1824,0,1
"m",19,1,6,"B",1621,100,0,100,2450,3,1929,0,1
"m",19,1,7,"B",1374,100,0,100,2550,4,1128,0,1
"m",19,1,8,"B",4831,100,0,100,2650,4,1133,0,1
"m",19,1,9,"B",1280,100,0,100,2750,4,2935,0,1
"m",19,1,10,"B",1958,100,0,100,2850,4,1084,0,1
"m",19,1,11,"B",2086,100,0,100,2950,4,973,0,1
"m",19,1,12,"B",1094,100,-1250,-1150,1800,4,1128,0,1
"m",19,1,13,"C",2168,50,-50,0,1800,1,1282,1,1
"m",19,1,14,"A",703,100,0,100,1900,1,991,0,1
"m",19,1,15,"A",653,100,0,100,2000,1,565,0,1
"m",19,1,16,"D",1513,50,0,50,2050,1,773,1,1
"m",19,1,17,"B",609,100,0,100,2150,1,909,0,1
"m",19,1,18,"B",1123,100,0,100,2250,1,691,0,1
"m",19,1,19,"B",4091,100,0,100,2350,1,605,0,1
"m",19,1,20,"C",2562,50,0,50,2400,2,1201,1,1
"m",19,1,21,"C",806,50,-50,0,2400,1,1416,1,2
"m",19,1,22,"B",1962,100,0,100,2500,1,707,0,2
"m",19,1,23,"B",1657,100,-1250,-1150,1350,1,817,0,2
"m",19,1,24,"A",1394,100,-150,-50,1300,1,1428,0,2
"m",19,1,25,"B",1429,100,0,100,1400,1,709,0,2
"m",19,1,26,"C",2666,50,0,50,1450,2,1520,1,2
"m",19,1,27,"C",920,50,-50,0,1450,1,1045,1,2
"m",19,1,28,"C",881,50,0,50,1500,1,1188,1,2
"m",19,1,29,"C",1414,50,-50,0,1500,1,816,1,2
"m",19,1,30,"B",777,100,0,100,1600,1,933,0,2
"m",19,1,31,"B",1677,100,0,100,1700,1,649,0,2
"m",19,1,32,"B",7657,100,0,100,1800,1,819,0,2
"m",19,1,33,"C",2206,50,-50,0,1800,1,949,1,2
"m",19,1,34,"C",833,50,0,50,1850,1,801,1,2
"m",19,1,35,"C",2013,50,-25,25,1875,1,1362,1,2
"m",19,1,36,"B",1894,100,0,100,1975,1,821,0,2
"m",19,1,37,"A",2458,100,0,100,2075,1,801,0,2
"m",19,1,38,"C",1594,50,-75,-25,2050,1,792,1,2
"m",19,1,39,"C",1374,50,0,50,2100,1,956,1,2
"m",19,1,40,"B",961,100,0,100,2200,1,613,0,2
"m",19,1,41,"D",5067,50,0,50,2250,1,973,1,3
"m",19,1,42,"B",1482,100,-1250,-1150,1100,1,704,0,3
"m",19,1,43,"C",865,50,0,50,1150,1,805,1,3
"m",19,1,44,"C",816,50,0,50,1200,1,700,1,3
"m",19,1,45,"C",708,50,-25,25,1225,2,544,1,3
"m",19,1,46,"C",802,50,-75,-25,1200,3,979,1,3
"m",19,1,47,"C",597,50,0,50,1250,2,788,1,3
"m",19,1,48,"C",1993,50,-50,0,1250,1,2118,1,3
"m",19,1,49,"C",700,50,0,50,1300,1,678,1,3
"m",19,1,50,"B",1265,100,0,100,1400,1,741,0,3
"m",19,1,51,"C",1360,50,0,50,1450,2,2834,1,3
"m",19,1,52,"C",1385,50,0,50,1500,3,620,1,3
"m",19,1,53,"C",3133,50,-50,0,1500,1,855,1,3
"m",19,1,54,"C",725,50,-25,25,1525,3,1765,1,3
"m",19,1,55,"B",832,100,0,100,1625,1,781,0,3
"m",19,1,56,"C",1825,50,-50,0,1625,1,1385,1,3
"m",19,1,57,"C",613,50,0,50,1675,1,560,1,3
"m",19,1,58,"C",646,50,0,50,1725,1,547,1,3
"m",19,1,59,"C",503,50,-75,-25,1700,3,622,1,3
"m",19,1,60,"C",558,50,-50,0,1700,3,495,1,3
"m",19,1,61,"B",1296,100,0,100,1800,1,913,0,4
"m",19,1,62,"C",8045,50,0,50,1850,3,1449,1,4
"m",19,1,63,"B",657,100,0,100,1950,2,1333,0,4
"m",19,1,64,"C",2286,50,0,50,2000,3,1877,1,4
"m",19,1,65,"C",3751,50,0,50,2050,3,3205,1,4
"m",19,1,66,"C",1101,50,-25,25,2075,3,816,1,4
"m",19,1,67,"B",1590,100,0,100,2175,1,795,0,4
"m",19,1,68,"C",1481,50,-25,25,2200,3,1244,1,4
