"gender","age","nsubj","trial_number","card_selected","rt_cardselection","win","loss","net_gain","totalcash_by_trial","confidence","rt_confidence","adv_choice","block"
"f",18,1,1,"A",3140,100,0,100,2100,4,1864,0,1
"f",18,1,2,"A",2526,100,0,100,2200,4,1852,0,1
"f",18,1,3,"A",4095,100,-150,-50,2150,3,1543,0,1
"f",18,1,4,"C",1321,50,0,50,2200,4,2193,1,1
"f",18,1,5,"C",2008,50,0,50,2250,4,1328,1,1
"f",18,1,6,"A",1462,100,0,100,2350,4,1496,0,1
"f",18,1,7,"A",1397,100,-300,-200,2150,4,999,0,1
"f",18,1,8,"C",2167,50,-50,0,2150,3,1179,1,1
"f",18,1,9,"B",1125,100,0,100,2250,3,1154,0,1
"f",18,1,10,"C",1649,50,0,50,2300,3,1404,1,1
"f",18,1,11,"B",3499,100,0,100,2400,3,991,0,1
"f",18,1,12,"A",2553,100,0,100,2500,4,1541,0,1
"f",18,1,13,"A",2769,100,-200,-100,2400,3,1235,0,1
"f",18,1,14,"C",1371,50,-50,0,2400,4,1092,1,1
"f",18,1,15,"C",1693,50,0,50,2450,3,779,1,1
"f",18,1,16,"B",1375,100,0,100,2550,3,1427,0,1
"f",18,1,17,"D",928,50,0,50,2600,3,972,1,1
"f",18,1,18,"C",1937,50,-50,0,2600,4,1689,1,1
"f",18,1,19,"A",2624,100,0,100,2700,3,1044,0,1
"f",18,1,20,"B",1504,100,0,100,2800,4,2216,0,1
"f",18,1,21,"C",1205,50,0,50,2850,4,1041,1,2
"f",18,1,22,"D",1033,50,0,50,2900,1,3123,1,2
"f",18,1,23,"D",1563,50,0,50,2950,3,1135,1,2
"f",18,1,24,"A",2129,100,-250,-150,2800,2,1664,0,2
"f",18,1,25,"B",2837,100,0,100,2900,3,880,0,2
"f",18,1,26,"D",1954,50,0,50,2950,4,1144,1,2
"f",18,1,27,"B",1861,100,0,100,3050,3,1012,0,2
"f",18,1,28,"B",1739,100,0,100,3150,4,1216,0,2
"f",18,1,29,"D",1201,50,0,50,3200,3,783,1,2
"f",18,1,30,"C",1242,50,-50,0,3200,4,1260,1,2
"f",18,1,31,"B",889,100,0,100,3300,4,1108,0,2
"f",18,1,32,"D",1895,50,0,50,3350,4,892,1,2
"f",18,1,33,"B",1021,100,-1250,-1150,2200,3,704,0,2
"f",18,1,34,"A",1941,100,-350,-250,1950,3,1045,0,2
"f",18,1,35,"C",1177,50,-50,0,1950,3,727,1,2
"f",18,1,36,"D",613,50,0,50,2000,4,688,1,2
"f",18,1,37,"D",839,50,0,50,2050,4,775,1,2
"f",18,1,38,"B",725,100,0,100,2150,2,1168,0,2
"f",18,1,39,"D",1544,50,0,50,2200,1,1464,1,2
"f",18,1,40,"B",1089,100,0,100,2300,1,1271,0,2
"f",18,1,41,"D",1333,50,-250,-200,2100,1,1151,1,3
"f",18,1,42,"B",665,100,0,100,2200,2,667,0,3
"f",18,1,43,"A",858,100,0,100,2300,2,595,0,3
"f",18,1,44,"C",796,50,0,50,2350,3,640,1,3
"f",18,1,45,"B",686,100,0,100,2450,2,823,0,3
"f",18,1,46,"B",4614,100,-1250,-1150,1300,3,1305,0,3
"f",18,1,47,"D",1496,50,0,50,1350,4,892,1,3
"f",18,1,48,"C",800,50,-25,25,1375,3,520,1,3
"f",18,1,49,"D",801,50,0,50,1425,4,727,1,3
"f",18,1,50,"A",816,100,-350,-250,1175,1,936,0,3
"f",18,1,51,"D",1086,50,0,50,1225,4,784,1,3
"f",18,1,52,"B",1076,100,0,100,1325,3,739,0,3
"f",18,1,53,"D",700,50,0,50,1375,4,608,1,3
"f",18,1,54,"D",780,50,0,50,1425,1,708,1,3
"f",18,1,55,"D",1515,50,0,50,1475,1,700,1,3
"f",18,1,56,"B",1505,100,0,100,1575,1,1222,0,3
"f",18,1,57,"B",1060,100,0,100,1675,2,804,0,3
"f",18,1,58,"D",759,50,0,50,1725,3,803,1,3
"f",18,1,59,"B",1027,100,0,100,1825,1,499,0,3
"f",18,1,60,"D",581,50,0,50,1875,4,887,1,3
"f",18,1,61,"D",732,50,0,50,1925,4,712,1,4
"f",18,1,62,"D",1136,50,-250,-200,1725,1,1088,1,4
"f",18,1,63,"B",753,100,0,100,1825,2,864,0,4
"f",18,1,64,"B",1249,100,0,100,1925,2,637,0,4
"f",18,1,65,"D",1616,50,0,50,1975,3,724,1,4
"f",18,1,66,"B",1032,100,-1250,-1150,825,1,876,0,4
"f",18,1,67,"D",1469,50,0,50,875,3,795,1,4
"f",18,1,68,"D",889,50,0,50,925,3,588,1,4
"f",18,1,69,"C",500,50,-75,-25,900,1,1178,1,4
"f",18,1,70,"A",689,100,0,100,1000,1,796,0,4
"f",18,1,71,"D",650,50,0,50,1050,4,1135,1,4
"f",18,1,72,"B",671,100,0,100,1150,2,704,0,4
"f",18,1,73,"C",1264,50,0,50,1200,1,796,1,4
"f",18,1,74,"D",785,50,0,50,1250,3,648,1,4
"f",18,1,75,"A",1110,100,-250,-150,1100,4,724,0,4
"f",18,1,76,"D",844,50,0,50,1150,3,584,1,4
"f",18,1,77,"B",540,100,0,100,1250,2,756,0,4
"f",18,1,78,"C",1506,50,0,50,1300,1,1132,1,4
"f",18,1,79,"D",860,50,0,50,1350,4,927,1,4
"f",18,1,80,"A",1060,100,-200,-100,1250,1,504,0,4
"f",18,1,81,"D",1204,50,0,50,1300,4,648,1,5
"f",18,1,82,"B",657,100,0,100,1400,4,852,0,5
"f",18,1,83,"D",893,50,-250,-200,1200,4,535,1,5
"f",18,1,84,"B",483,100,0,100,1300,4,1084,0,5
"f",18,1,85,"B",528,100,0,100,1400,4,672,0,5
"f",18,1,86,"B",1273,100,0,100,1500,4,847,0,5
"f",18,1,87,"D",1001,50,0,50,1550,4,697,1,5
"f",18,1,88,"D",1076,50,0,50,1600,4,688,1,5
"f",18,1,89,"B",1121,100,0,100,1700,1,606,0,5
"f",18,1,90,"D",718,50,0,50,1750,4,1122,1,5
"f",18,1,91,"B",1457,100,0,100,1850,4,2185,0,5
"f",18,1,92,"D",2073,50,0,50,1900,2,1216,1,5
"f",18,1,93,"D",1694,50,0,50,1950,4,800,1,5
"f",18,1,94,"B",661,100,0,100,2050,3,964,0,5
"f",18,1,95,"D",2425,50,-250,-200,1850,3,769,1,5
"f",18,1,96,"B",1176,100,0,100,1950,2,775,0,5
"f",18,1,97,"C",629,50,0,50,2000,4,636,1,5
"f",18,1,98,"A",999,100,0,100,2100,4,680,0,5
"f",18,1,99,"D",553,50,0,50,2150,2,907,1,5
"f",18,1,100,"B",1429,100,-1250,-1150,1000,1,744,0,5
"f",19,2,1,"A",10454,100,0,100,2100,3,2460,0,1
